"num","title","link","tag1","tag2","tag3","tag4","discount_original_price","discount_final_price","discount_pct","recent_review","all_review","release_date","developer","publisher"
"1","PLAYERUNKNOWN'S BATTLEGROUNDS","https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/?snr=1_1452_4__104","Survival"," Shooter"," Multiplayer"," PvP","32,000 원","32,000 원","0%","Mostly Negative (12,614)","Mixed (763,171)","21 Dec, 2017","PUBG Corporation","PUBG Corporation"
"2","Football Manager 2019","https://store.steampowered.com/app/872790/Football_Manager_2019/?snr=1_1452_4__104","Simulation"," Sports"," Management"," Soccer","54,000 원","54,000 원","0%","No review","Mostly Positive (916)","2 Nov, 2018","Sports Interactive","SEGA"
"3","Stardew Valley","https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_1452_4__104","RPG"," Simulation"," Pixel Graphics"," Agriculture","16,000 원","16,000 원","0%","Very Positive (1,093)","Overwhelmingly Positive (87,675)","27 Feb, 2016","ConcernedApe","ConcernedApe"
"4","Thronebreaker: The Witcher Tales","https://store.steampowered.com/app/973760/Thronebreaker_The_Witcher_Tales/?snr=1_1452_4__104","Adventure"," RPG"," Card Game"," Story Rich","33,400 원","33,400 원","0%","No review","Very Positive (481)","10 Nov, 2018","CD PROJEKT RED","CD PROJEKT RED"
"5","Dead by Daylight","https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_1452_4__104","Horror"," Survival Horror"," Multiplayer"," Co-op","21,000 원","21,000 원","0%","Mostly Positive (3,238)","Mostly Positive (113,694)","14 Jun, 2016","Behaviour Digital Inc.","Behaviour Digital Inc."
"6","ARK: Survival Evolved","https://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_1452_4__104","Survival"," Open World"," Dinosaurs"," Multiplayer","51,000 원","20,400 원","-60%","Mostly Positive (1,867)","Mixed (155,120)","28 Aug, 2017","Studio Wildcard, Instinct Games, Efecto Studios,","Studio Wildcard"
"7","MONSTER HUNTER: WORLD","https://store.steampowered.com/app/582010/MONSTER_HUNTER_WORLD/?snr=1_1452_4__104","Action"," Hunting"," Co-op"," Multiplayer","63,000 원","63,000 원","0%","Mixed (2,363)","Mixed (42,144)","10 Aug, 2018","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"8","RimWorld","https://store.steampowered.com/app/294100/RimWorld/?snr=1_1452_4__104","Base Building"," Survival"," Strategy"," Sandbox","36,000 원","36,000 원","0%","Overwhelmingly Positive (2,489)","Overwhelmingly Positive (23,700)","17 Oct, 2018","Ludeon Studios","Ludeon Studios"
"9","Assassin's Creed® Odyssey","https://store.steampowered.com/app/812140/Assassins_Creed_Odyssey/?snr=1_1452_4__104","Open World"," Action"," RPG"," Singleplayer","65,000 원","65,000 원","0%","No review","Mostly Positive (7,075)","6 Oct, 2018","Ubisoft Quebec, Ubisoft Montreal, Ubisoft Bucharest, , , ,","Ubisoft"
"10","ASTRONEER","https://store.steampowered.com/app/361420/ASTRONEER/?snr=1_1452_4__104","Early Access"," Open World"," Survival"," Multiplayer","21,000 원","16,800 원","-20%","Very Positive (275)","Very Positive (23,960)","16 Dec, 2016","System Era Softworks","System Era Softworks"
